Temp,Humd,Label
21.0,38.0,1
21.0,38.0,1
21.0,38.0,1
21.0,38.0,1
21.0,38.0,1
21.0,38.0,1
21.0,39.0,1
21.0,39.0,1
21.0,44.0,1
21.0,49.0,1
21.0,52.0,1
21.0,53.0,1
21.0,53.0,1
21.0,54.0,1
21.0,55.0,1
22.0,58.0,1
22.0,59.0,1
22.0,61.0,1
22.0,62.0,1
22.0,62.0,1
22.0,65.0,1
22.0,69.0,1
22.0,69.0,1
23.0,70.0,1
23.0,70.0,1
23.0,71.0,1
23.0,73.0,1
23.0,74.0,1
23.0,75.0,1
24.0,76.0,1
24.0,77.0,1
24.0,77.0,1
24.0,77.0,1
24.0,79.0,1
24.0,80.0,1
24.0,80.0,1
25.0,81.0,1
25.0,81.0,1
25.0,81.0,1
25.0,81.0,1
25.0,81.0,1
25.0,81.0,1
26.0,81.0,1
26.0,82.0,1
26.0,82.0,1
26.0,83.0,1
26.0,83.0,1
26.0,83.0,1
26.0,83.0,1
26.0,83.0,1
26.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
27.0,84.0,1
26.0,84.0,1
26.0,82.0,1
26.0,82.0,1
26.0,82.0,1
26.0,82.0,1
26.0,82.0,1
26.0,81.0,1
26.0,81.0,1
26.0,81.0,1
26.0,81.0,1
26.0,81.0,1
26.0,81.0,1
26.0,81.0,1
25.0,81.0,1
25.0,81.0,1
25.0,80.0,1
25.0,80.0,1
25.0,79.0,1
25.0,78.0,1
25.0,77.0,1
25.0,77.0,1
25.0,76.0,1
25.0,75.0,1
25.0,74.0,1
25.0,73.0,1
24.0,72.0,1
24.0,71.0,1
24.0,71.0,1
24.0,71.0,1
24.0,71.0,1
24.0,71.0,1
24.0,70.0,1
24.0,70.0,1
24.0,70.0,1
24.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,68.0,1
24.0,68.0,1
24.0,68.0,1
24.0,65.0,1
24.0,65.0,1
24.0,65.0,1
24.0,64.0,1
24.0,64.0,1
24.0,64.0,1
24.0,64.0,1
24.0,64.0,1
24.0,63.0,1
24.0,63.0,1
24.0,63.0,1
24.0,63.0,1
24.0,63.0,1
24.0,62.0,1
24.0,62.0,1
24.0,62.0,1
24.0,60.0,1
24.0,60.0,1
24.0,59.0,1
24.0,59.0,1
24.0,59.0,1
24.0,59.0,1
24.0,59.0,1
24.0,58.0,1
24.0,58.0,1
24.0,58.0,1
24.0,57.0,1
24.0,57.0,1
24.0,57.0,1
24.0,57.0,1
24.0,55.0,1
24.0,55.0,1
24.0,55.0,1
24.0,54.0,1
24.0,52.0,1
24.0,52.0,1
24.0,52.0,1
24.0,51.0,1
24.0,51.0,1
24.0,50.0,1
24.0,50.0,1
24.0,50.0,1
24.0,50.0,1
24.0,50.0,1
24.0,50.0,1
24.0,50.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,49.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,48.0,1
24.0,47.0,1
24.0,47.0,1
24.0,46.0,1
24.0,46.0,1
24.0,46.0,1
24.0,46.0,1
24.0,46.0,1
24.0,46.0,1
25.0,46.0,1
25.0,45.0,1
25.0,45.0,1
25.0,45.0,1
25.0,45.0,1
25.0,45.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,44.0,1
25.0,43.0,1
25.0,43.0,1
25.0,43.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
25.0,42.0,1
